Job ID,Job URL,Job Title,Company Name,Status,Timestamp,WP ID
bb519077dcc162a6,https://www.jobsnamibia.net/swakopmund/Retail-Manager,Retail Manager,See Africa Safari Shop CC,posted,2026-06-22T02:25:22.756666,88.0
31473c29a9b1a007,https://www.jobsnamibia.net/otjiwarongo/fitter-and-turner,Fitter and Turner,B2Gold Namibia,posted,2026-06-22T02:26:14.669936,90.0
236a28f98213d3a6,https://www.jobsnamibia.net/international/hvac-technicians,HVAC Technicians,MultiselectNext,posted,2026-06-22T02:27:15.235234,92.0
7730dab67dc161ce,https://www.jobsnamibia.net/swakopmund/Sales-Person,Sales Person,See Africa Safari Shop CC,posted,2026-06-22T14:26:48.114672,94.0
183a30a3d04c2408,https://www.jobsnamibia.net/windhoek/Junior-Graphic-Designer,Junior Graphic Designer,Selected Hardware,posted,2026-06-23T11:54:13.049871,96.0
5f771b19904f1194,https://www.jobsnamibia.net/windhoek/Sales-Administrator,Sales Administrator,Ashlee Distributors (Pty) Ltd,posted,2026-06-23T14:26:30.796502,98.0
959f5fca8681216e,https://www.jobsnamibia.net/windhoek/private-banker,Private Banker,First National Bank of Namibia,posted,2026-07-08T10:56:46.912526,110.0
79b68d83a4ee004a,https://www.jobsnamibia.net/windhoek/software-developer-fnb,Software Developer,First National Bank of Namibia,posted,2026-07-08T10:58:12.465904,112.0
62938d470d1c919a,https://www.jobsnamibia.net/swakopmund/Technician-Geotechnical,Technician: Geotechnical,Swakop Uranium,posted,2026-07-08T10:59:10.182435,114.0
5e7cf67516623150,https://www.jobsnamibia.net/swakopmund/team-leader-plant,Team Leader: Plant,Swakop Uranium,posted,2026-07-08T11:00:04.251736,116.0
b9209a472a303987,https://www.jobsnamibia.net/swakopmund/Team-Leader-Trucks,Team Leader: Trucks,Swakop Uranium,posted,2026-07-08T11:01:17.352730,118.0
a864b4ad41cdc6ad,https://www.jobsnamibia.net/swakopmund/engineer-maintenance,Senior Engineer: Maintenance,Swakop Uranium,posted,2026-07-08T11:03:07.771228,120.0
c4e24b8494f24682,https://www.jobsnamibia.net/swakopmund/hr-busines-partner,HR Business Partner,Swakop Uranium,posted,2026-07-08T11:04:11.127335,122.0
